resource_type	value	reference	context
audio_file	https://scp-sandbox-3.wdfiles.com/local--files/test544/Acrophobia.mp3	root	from-audio-player-include
audio_file	https://scp-sandbox-3.wdfiles.com/local--files/test544/Alethophobia.mp3	root	from-audio-player-include
audio_file	https://scp-sandbox-3.wdfiles.com/local--files/test544/Anthropophobia.mp3	root	from-audio-player-include
audio_file	https://scp-sandbox-3.wdfiles.com/local--files/test544/Aquaphobia.mp3	root	from-audio-player-include
audio_file	https://scp-sandbox-3.wdfiles.com/local--files/test544/Athazagoraphobia.mp3	root	from-audio-player-include
audio_file	https://scp-sandbox-3.wdfiles.com/local--files/test544/Atychiphobia.mp3	root	from-audio-player-include
audio_file	https://scp-sandbox-3.wdfiles.com/local--files/test544/Automotophobia.mp3	root	from-audio-player-include
audio_file	https://scp-sandbox-3.wdfiles.com/local--files/test544/Autophobia.mp3	root	from-audio-player-include
audio_file	https://scp-sandbox-3.wdfiles.com/local--files/test544/Basophobia.mp3	root	from-audio-player-include
audio_file	https://scp-sandbox-3.wdfiles.com/local--files/test544/Diagraphephobia.mp3	root	from-audio-player-include
audio_file	https://scp-sandbox-3.wdfiles.com/local--files/test544/Eisoptrophobia.mp3	root	from-audio-player-include
audio_file	https://scp-sandbox-3.wdfiles.com/local--files/test544/Ergophobia.mp3	root	from-audio-player-include
audio_file	https://scp-sandbox-3.wdfiles.com/local--files/test544/Eschatophobia2.mp3	root	from-audio-player-include
audio_file	https://scp-sandbox-3.wdfiles.com/local--files/test544/Frigophobia.mp3	root	from-audio-player-include
audio_file	https://scp-sandbox-3.wdfiles.com/local--files/test544/Hedonophobia.mp3	root	from-audio-player-include
audio_file	https://scp-sandbox-3.wdfiles.com/local--files/test544/INTRO.mp3	root	from-audio-player-include
audio_file	https://scp-sandbox-3.wdfiles.com/local--files/test544/Kenophobia.mp3	root	from-audio-player-include
audio_file	https://scp-sandbox-3.wdfiles.com/local--files/test544/Masklophobia.mp3	root	from-audio-player-include
audio_file	https://scp-sandbox-3.wdfiles.com/local--files/test544/Mnemophobia.mp3	root	from-audio-player-include
audio_file	https://scp-sandbox-3.wdfiles.com/local--files/test544/Nucleomituphobia.mp3	root	from-audio-player-include
audio_file	https://scp-sandbox-3.wdfiles.com/local--files/test544/Nyctophobia.mp3	root	from-audio-player-include
audio_file	https://scp-sandbox-3.wdfiles.com/local--files/test544/Ommetaphobia.mp3	root	from-audio-player-include
audio_file	https://scp-sandbox-3.wdfiles.com/local--files/test544/Onuxophobia.mp3	root	from-audio-player-include
audio_file	https://scp-sandbox-3.wdfiles.com/local--files/test544/Phobophobia.mp3	root	from-audio-player-include
audio_file	https://scp-sandbox-3.wdfiles.com/local--files/test544/Photophobia.mp3	root	from-audio-player-include
audio_file	https://scp-sandbox-3.wdfiles.com/local--files/test544/Pistanthrophobia.mp3	root	from-audio-player-include
audio_file	https://scp-sandbox-3.wdfiles.com/local--files/test544/Prosophobia.mp3	root	from-audio-player-include
audio_file	https://scp-sandbox-3.wdfiles.com/local--files/test544/Pyrophobia.mp3	root	from-audio-player-include
audio_file	https://scp-sandbox-3.wdfiles.com/local--files/test544/Scopophobia.mp3	root	from-audio-player-include
audio_file	https://scp-sandbox-3.wdfiles.com/local--files/test544/Selenophobia.mp3	root	from-audio-player-include
audio_file	https://scp-sandbox-3.wdfiles.com/local--files/test544/Submechanophobia.mp3	root	from-audio-player-include
audio_file	https://scp-sandbox-3.wdfiles.com/local--files/test544/Tokophobia.mp3	root	from-audio-player-include
audio_file	https://scp-sandbox-3.wdfiles.com/local--files/test544/Traumatophobia.mp3	root	from-audio-player-include
audio_file	https://scp-sandbox-3.wdfiles.com/local--files/test544/decidophobia.mp3	root	from-audio-player-include
audio_file	https://scp-sandbox-3.wdfiles.com/local--files/test544/erotophobia.mp3	root	from-audio-player-include
audio_file	https://scp-sandbox-3.wdfiles.com/local--files/test544/necrophobia.mp3	root	from-audio-player-include
audio_file	https://scp-sandbox-3.wdfiles.com/local--files/test544/thalassophobia.mp3	root	from-audio-player-include
child_page	dr-frueh-s-proposal	parent=scp-anthology-2024	title=DarkStuff's Proposal
child_page	fragment:scp-anthology-2024-earthworm	parent=scp-anthology-2024	title=SCP Anthology 2024 / Earthworm
child_page	scp-3246	parent=scp-anthology-2024	title=SCP-3246
child_page	scp-8084	parent=scp-anthology-2024	title=SCP-8084
child_page	scp-8091	parent=scp-anthology-2024	title=SCP-8091
child_page	scp-8109	parent=scp-anthology-2024	title=SCP-8109
child_page	scp-8123	parent=scp-anthology-2024	title=SCP-8123
child_page	scp-8160	parent=scp-anthology-2024	title=SCP-8160
child_page	scp-8201	parent=scp-anthology-2024	title=SCP-8201
child_page	scp-8217	parent=scp-anthology-2024	title=SCP-8217
child_page	scp-8339	parent=scp-anthology-2024	title=SCP-8339
child_page	scp-8356	parent=scp-anthology-2024	title=SCP-8356
child_page	scp-8380	parent=scp-anthology-2024	title=SCP-8380
child_page	scp-8430	parent=scp-anthology-2024	title=SCP-8430
child_page	scp-8465	parent=scp-anthology-2024	title=SCP-8465
child_page	scp-8480	parent=scp-anthology-2024	title=SCP-8480
child_page	scp-8490	parent=scp-anthology-2024	title=SCP-8490
child_page	scp-8520	parent=scp-anthology-2024	title=SCP-8520
child_page	scp-8558	parent=scp-anthology-2024	title=SCP-8558
child_page	scp-8596	parent=scp-anthology-2024	title=SCP-8596
child_page	scp-8607	parent=scp-anthology-2024	title=SCP-8607
child_page	scp-8654	parent=scp-anthology-2024	title=SCP-8654
child_page	scp-8724	parent=scp-anthology-2024	title=SCP-8724
child_page	scp-8770	parent=scp-anthology-2024	title=SCP-8770
child_page	scp-8822	parent=scp-anthology-2024	title=SCP-8822
child_page	scp-8876	parent=scp-anthology-2024	title=SCP-8876
child_page	scp-8894	parent=scp-anthology-2024	title=SCP-8894
child_page	scp-8906	parent=scp-anthology-2024	title=SCP-8906
child_page	scp-8934	parent=scp-anthology-2024	title=SCP-8934
child_page	scp-8935	parent=scp-anthology-2024	title=SCP-8935
child_page	scp-8976	parent=scp-anthology-2024	title=SCP-8976
child_page	scp-8980	parent=scp-anthology-2024	title=SCP-8980
child_page	scp-8986	parent=scp-anthology-2024	title=SCP-8986
child_page	scp-9426	parent=scp-anthology-2024	title=SCP-9426
child_page	scp-9940	parent=scp-anthology-2024	title=SCP-9940
external_url	https://boudewijnhuijgens.getarchive.net/amp/media/a-role-players-thigh-is-transformed-to-an-open-wound-b34516	root	scp-anthology-2024
external_url	https://cdn.jsdelivr.net/gh/SYwaves/Webfont-Archive@master/TT2020StyleD-Italic.woff2	root	scp-anthology-2024
external_url	https://cdn.jsdelivr.net/gh/SYwaves/Webfont-Archive@master/TT2020StyleD-Regular.woff2	root	scp-anthology-2024
external_url	https://commons.m.wikimedia.org/wiki/File:D%C3%BClmen,_Kirchspiel,_ehem._Munitionslager_Visbeck,_Bunker_--_2019_--_6432_(bw	root	scp-anthology-2024
external_url	https://commons.m.wikimedia.org/wiki/File:Gaping_hole_of_cistern.jpg	root	scp-anthology-2024
external_url	https://commons.wikimedia	root	scp-anthology-2024
external_url	https://commons.wikimedia.org/wiki/File:Ancient_Greece_Bronze_Statue_Head_of_Antikythera_Philosopher,_c._230_BC_%2827884130133%29.jpg	root	scp-anthology-2024
